name_episode,description,release_date,duration_ms,id
"Timothée Chalamet Crashes His Lookalike Contest, Taylor Swift Brings Out Sabrina Carpenter + Weekly Watch Report","KC & NASHVILLE LIVE SHOW TICKETS > bit.ly/LFGTOUR. Weekend recaps (00:00-25:53). Timothée Chalamet crashes Timothée Chalamet lookalike contest in NYC (26:48-32:30). Sophie Turner goes IG official with BF Peregrine Pearson (32:31-35:27). Taylor Swift brings out Sabrina Carpenter at the Eras Tour (35:28-42:36). Brooks Nader & Gleb’s “split” (42:37-45:33). 'The Clique' book series is getting a reboot and Ria knows the real Claire (46:39-52:32). Hugh Jackman's ex-wife Deborra-Lee was ‘suspicious' of his broadway co-star Sutton Foster (52:33-1:00:14). Weekly Watch Report (1:01:23-1:21:32).  CITO LINKS > barstool.link/chicks-in-the-office.You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/chicks-in-the-office",2024-10-28,4907807,2KJARTXM9N8WgmlnsAMpUZ
Episode 60: Is Rep TV Being Announced on 10/4??,"On this episode of Swiftie School we go down the rabbit hole of the 10/4 theory. Will we get a rep TV announcement and/or drop? A music video? Easter eggs? Taylor is a mastermind and the invisible strings are stringing for this theory. Let me know what you think in the comments!   Referenced in the episode: Swiftie School Theory Post Arlington, TX Poster Taylor Nation VMA Recap post National Plaidurday   I am not affiliated with Taylor Swift in any way (I wish I was!), and all I'm doing is expressing my opinions and my appreciation. It's another great day to be alive at the same time as Taylor Swift! For more swiftivities follow the host at @reagan.baylee on Instagram. Submit an easter egg, theory, guest or episode topic request here: https://forms.monday.com/forms/5bc3aaaba66ab48125fdccab0bb1de03?r=use1",2024-10-02,1222693,0efJeGH8uZUNTijHDMRYzL
Tyreek was WRONG! Is Tom Brady the NFL’s new Taylor Swift & Lamar balling but still losing.. | 4th&1," In this episode of 4th&1, Cam Newton tackles some hot topics in the NFL! First up, we dive into Tyreek Hill's recent comments and whether they were justified. Next, we discuss the intriguing comparison of Tom Brady to Taylor Swift and explore if Brady is indeed becoming the NFL's new pop culture icon. Lastly, we analyze Lamar Jackson's impressive performances and his struggles to secure wins, despite his stellar individual play. Join Cam as he breaks down these issues and more, offering his unique perspective on the latest NFL headlines⏲Timecodes 00:00:00 - Introduction00:03:00 - Nerdwallet ad00:04:02 - 4th&1 freestyle rap00:08:35 - 1st Down Viral Moment of the week00:46:43 - 2nd Down questionable call of the week00:58:34 - 3rd Down Fashion Approved01:13:28 - 4th Down Fan Question of the week01:21:48 - Cams Week 2 NFL Picks01:26:06 - Newtons LawThanks to ZipRecruiter for sponsoring this video  Checkout ziprecruiter.com/CAMNEWTON for the smartest way to hire #ad Thanks to NERDWALLET for sponsoring this video Checkout nerdwallet.com/learnmore  Want more Content?? Funky Friday ​⁠@CamNewton  More Cam Newton (Gaming)​⁠ @MoreCamNewton   📲Follow Cam Newton on Social Media! 🎮Twitch: https://www.twitch.tv/meandallmyk1ds 📹Tiktok: https://www.tiktok.com/@cameron1newton 📸Instagram: https://www.instagram.com/cam 🐦Twitter: https://twitter.com/CameronNewton/ 👤Facebook: https://www.facebook.com/CamJNewton2/  🎩Shop all my handmade hats: https://bit.ly/MeshikaShop  🎞Executive Producer:  Cam Newton  Directed By:  Omari Collins / Peggy 📸https://www.instagram.com/ogcollins  Produced by: Brendan Cole 📸https://www.instagram.com/brendan_cole  Camera & Editor: Brelan Butler 📸https://www.instagram.com/eli_20kplus  Thumbnail & Channel Manager: Kent Heckel 📹 @KentHeckel   Production:🎬 Iconic Saga 📸http://bit.ly/IconicSagaInstagram  ",2024-09-13,6724181,7hfAuGI4lYzreR2qNTJOZV
taylor swift tiktoks,creds to all creators proud swiftie since 2019  ,2024-10-19,554724,2wNGnHoIb8398CUuP3DFrE
Taylor Swift’s Handwritten Letter to Dave Portnoy + ‘Love Is Blind’ Is Getting Messy,"KC & NASHVILLE LIVE SHOW TICKETS > bit.ly/LFGTOUR. Weekend recaps (00:00-22:24). ‘Love Is Blind’s’ Tyler’s baby mama speaks out about his lies (23:52-30:46). Andrew Garfield’s Chicken Shop Date with Amelia Dimoldenberg (30:47-41:18). Taylor Swift writes Dave Portnoy handwritten letter (41:59-56:51). Eva Mendes says she’ll only act again if it’s with Ryan Gosling (56:52-1:02:06). Weekly Watch Report (1:03:13-1:41:27).  CITO LINKS > barstool.link/chicks-in-the-office.You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/chicks-in-the-office",2024-10-21,6104267,2Ph1SHUJLnhz9Hhduht1Oq
Episode 62: Literature Professor Analyzes Taylor's Lyrics | With Kyle Traynham,"This episode of Swiftie School is ~straight from the tortured poets department~ because I’m chatting with Kyle Traynham, a literary professor who shares his insights on Taylor’s use of literary devices, her poetic influences, and his analysis of The Manuscript and So Long, London!   I am not affiliated with Taylor Swift in any way (I wish I was!), and all I'm doing is expressing my opinions and my appreciation. It's another great day to be alive at the same time as Taylor Swift! For more swiftivities follow the host at @reagan.baylee on Instagram. Submit an easter egg, theory, guest or episode topic request here: https://forms.monday.com/forms/5bc3aaaba66ab48125fdccab0bb1de03?r=use1",2024-10-16,2125392,1oFWBvnt3VslUyjHKZUmk5
"Taylor's Got Something Up Her Kilt: Tuesday, October 8th, 2024","Taylor Swift attends Chiefs vs. Saints game at Arrowhead (22:17)Andrew Garfield Reveals Sex Scene With Florence Pugh Went ""Further"" Than Intended (E! News) (35:28)Brittany Cartwright started secretly hooking up with Jax Taylor's pal Julian Sensley shortly after separation (Page Six) (41:07)Luke Bryan Says 'I Respect Beyonce' After Divisive Comments on CMA Awards Snubbing 'Cowboy Carter' (Variety) (50:46)Colleen Hoover Novel 'Reminders of Him' Sets Movie Adaptation at Universal for Valentine's Day 2026 (Variety) (56:10)The Toast with Jackie (@JackieOshry) and Claudia Oshry (@girlwithnojob) Lean InThe Camper and The Counselor by Jackie OshryMerchThe Toast PatreonGirl With No Job by Claudia OshrySee Privacy Policy at https://art19.com/privacy and California Privacy Notice at https://art19.com/privacy#do-not-sell-my-info.",2024-10-08,3955382,2uwc9OyBQCdHWwa8ym5YIO
Episode 63: What It's Like Being In Taylor's Music Videos | With Cassy Simmons,"Ever wondered what it's like to be in a Taylor Swift Music Video?? On this episode of Swiftie School, I'm sharing an exclusive bonus episode from my Patreon where I chat with one of our members, Cassy Simmons, all about her experience being in the Shake It Off Music video!   Referenced in the episode: Shake it Off MV Shake it Off Outtakes with the fans Swiftie School Patreon Follow Cassy  I am not affiliated with Taylor Swift in any way (I wish I was!), and all I'm doing is expressing my opinions and my appreciation. It's another great day to be alive at the same time as Taylor Swift! For more swiftivities follow the host at @reagan.baylee on Instagram. Submit an easter egg, theory, guest or episode topic request here: https://forms.monday.com/forms/5bc3aaaba66ab48125fdccab0bb1de03?r=use1",2024-10-23,2258442,5zJXKYBUEslCgWicw7IuKM
"Hating Raw Milk, Being Nuanced On Taylor Swift & Wearing Wigs | Matt Walsh","DEI expert, Dancing With The Stars contestant, bestselling children’s book author, and host of The Matt Walsh Show, Matt Walsh, joins CA to talk anime, Taylor Swift, his bias against raw milk, new movie “Am I Racist?”, fatherhood, and of course it’s all done in his signature dead pan way.  Thank you to our sponsors!   Good Ranchers⁠⁠ | Use code “CLARK” for for a FREE Thanksgiving ham in your first delivery ⁠⁠YRefy⁠⁠ | Call (888) 502-2612 or visit ⁠⁠yrefy.com A'del Natural Cosmetics | Use code ""ALEX"" for 25% OFF  Aleavia | Use code ""ALEX15"" 15% OFF   Matt Walsh X | @MattWalshBlog  Instagram | @mattwalshblog YouTube | @MattWalsh  Resources Stream “Am I Racist” exclusively on DailyWire+ “Am I Racist?” Official Trailer  The Matt Walsh Show   Alex Clark Instagram | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@realalexclark⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ Instagram | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@cultureapothecary⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ Facebook | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@realalexclark⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ X | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@yoalexrapz⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ YouTube | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@RealAlexClark⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ Spotify | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Culture Apothecary with Alex Clark ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ Apple Podcast | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Culture Apothecary with Alex Clark⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  New 'Culture Apothecary' Merch OUT NOW! Glass tumblers, weekly wellness planners, hats, crewnecks and more. Use code ""Alex Clark"" for 10% OFF at ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠tpusamerch.com⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  Join the Cuteservatives Facebook group to connect with likeminded friends who love America and all things health and wellness! ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Join the CUTEservative Facebook Group!⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  Subscribe to ‘Culture Apothecary’ on ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Apple Podcasts⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ and ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Spotify⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠. New episodes drop 6pm PST/ 9pm EST every Monday and Thursday.  This show is made possible with generous donations from listeners who believe in our mission to heal a sick culture.  You can support our show by leaving a tax deductible donation, or by subscribing to ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠@RealAlexClark⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ YouTube for FREE! ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠donate.tpusa.com⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  #cultureapothecary #alexclark #podcast #culture #politics ",2024-11-15,3468457,4QfyGqbSB1BXPWscjcc1Sg
Episode 65: Only Two More Eras Tour Stops???,"On this episode of Swiftie School I recap the swiftivities from the Indy shows and discuss what’s to come for the final two Canada stops and beyond (documentary in 2025??? 👀)  Referenced in the episode: Taylor at this week’s Chief’s game Errors Tour Mic Malfunction Stadiums trading Friendship Bracelets 🥹   I am not affiliated with Taylor Swift in any way (I wish I was!), and all I'm doing is expressing my opinions and my appreciation. It's another great day to be alive at the same time as Taylor Swift! For more swiftivities follow the host at @reagan.baylee on Instagram. Submit an easter egg, theory, guest or episode topic request here: https://forms.monday.com/forms/5bc3aaaba66ab48125fdccab0bb1de03?r=use1",2024-11-06,767605,2d8xQNVLf2DlDxWOKWZoj4
Why is it so hard to tax billionaires? (Part 2),"We reveal the one weird trick some billionaires use to pay less in federal income taxes than you do. And we explain the consequences faced by the person who leaked the tax returns of billionaires like Jeff Bezos and Taylor Swift, thereby enraging some of the most powerful people in our country. Support the show at searchengine.show!   To learn more about listener data and our privacy practices visit: https://www.audacyinc.com/privacy-policy     Learn more about your ad choices. Visit https://podcastchoices.com/adchoices",2024-10-18,2453603,5KhZcguymkiEQVX3ijpVql
Episode 64: Everything You Missed From Miami + NOLA,"On this episode of Swiftie School, I’m recapping everything that went down during the Eras Tour Miami + NOLA shows! Plus I’m sharing all the debutation double-drop theories and predictions for the Indy + Canada shows!  Referenced in the episode: 112 Day Theory Karyn the snake Taylor comments on friendship bracelets on tour  Craft store donating 5 million beads… could not, in fact, find the link 🤪 Taylor’s reel with mics in the background 👀  I am not affiliated with Taylor Swift in any way (I wish I was!), and all I'm doing is expressing my opinions and my appreciation. It's another great day to be alive at the same time as Taylor Swift! For more swiftivities follow the host at @reagan.baylee on Instagram. Submit an easter egg, theory, guest or episode topic request here: https://forms.monday.com/forms/5bc3aaaba66ab48125fdccab0bb1de03?r=use1",2024-10-30,1072436,79eGZQum33kckRdOQNAJJW
"What's Next for Chappell Roan, Lady Gaga's ""Disease,"" and Taylor Swift's Style","Nora and Nathan discuss the news that Chappell Roan is parting ways with her management and what might be coming next for the artist after a very busy summer (1:00); the muted reaction to Lady Gaga's newest single, ""Disease"" (23:52); and what we can learn about Taylor Swift from the way she dresses (40:17).Hosts: Nora Princiotti and Nathan HubbardProducer: Kaya McMullen Learn more about your ad choices. Visit podcastchoices.com/adchoices",2024-11-15,3846791,7F15ugBUoMtc3sSiNp4QQo
Scientifically Ranking Taylor Swift's Ex-Boyfriends,"In this episode of Evolution of a Snake, THE Taylor Swift Podcast, we do our best to rank the muses in Taylor Swift's catalog objectively. Though there is a subjective 'hotness' category, we strive to view these purses for their contributions to the discography and lore, and also by their impact on Taylor's relationship to love (as written through her songs) going forward. If you're craving more EOAS, you can find us weekly on https://www.patreon.com/swiftologist Learn more about your ad choices. Visit podcastchoices.com/adchoices",2024-08-19,4980035,3k1WGEFVdDDCk9TEnnh8yS
"Vanderpump Rules, Euphoria, Taylor Swift w/ Thea de Sousa","On this week’s episode, Deux is joined by the author of the Vanderpump Rules trivia book, Thea de Sousa. They’re answering all your questions about the hottest topics of the week, including:    Vanderpump Rules  Devin Booker + Kendall Jenner  Skims  Euphoria  Jessica Simpson  Taylor Swift  Zach Bryan diss track  Outer Banks     To learn more about listener data and our privacy practices visit: https://www.audacyinc.com/privacy-policy     Learn more about your ad choices. Visit https://podcastchoices.com/adchoices",2024-11-14,3646093,1YY1cVc9ViGGbXiiWDgHF9
"I Can Fix Him (No Really, I Can)","Taylor Swift's storytelling in ""The Tortured Poets Department"" continues with ""I Can Fix Him (No Really, I Can)"". Is the story being told after she's fresh out the slammer and heading to Florida? Or where does this fall in the timeline? And the hosts of 13 can't help but beg the question - is this one actually the most country of the album?   Nick, Amy, Ana, and Lacey explore the lyrics of this short but mighty song, the backstory, the imagery, and so much more!   And in case you missed it, we recently had a fabulous Eras Tour Pre-Party at Loews Miami Beach Hotel! Check out the photos taken by Kaitlyn Ryan (@kaitlynryanfilms) on our website and social medias!   THIS PODCAST IS SPONSORED BY CHIME! Get started today at chime.com/TAYLORSWIFTFAN.   THIS PODCAST IS SPONSORED BY VIIA! Try VIIA Hemp! viiahemp.com and use code SWIFTFANPOD   THIS PODCAST IS SPONSORED BY BETTER HELP! Go to BetterHelp.com/ TAYLORSWIFTFAN today to get 10% off your first month  CONTACT THE PODCAST! Voicemail Number- (689) 214-1313 Email- the13podcast@gmail.com IG- https://www.instagram.com/the13podcast TikTok- https://www.tiktok.com/@the13podcast Twitter- https://twitter.com/the13TSpodcast YouTube- https://www.youtube.com/@13ATaylorSwiftFanPodcast  FOLLOW US! The13Podcast.Net Ana - https://www.instagram.com/anaszabo13 Lacey – https://www.instagram.com/laceygee13 Amy – https://www.instagram.com/amysnichols Nick – https://www.instagram.com/nickadamsonair CHECK OUT OUR OTHER PODCASTS! Nick – ""Shut Up!"" & ""The Chatty Daddies"" Learn more about your ad choices. Visit megaphone.fm/adchoices",2024-10-29,3255013,0FaldfkN6XHslsjpK1ZcVG
